City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Caravelas,BR,2022-05-12 01:09:56,-17.7125,-39.2481,72.52,82,6,6.22
217,Kailua,US,2022-05-12 01:09:56,21.4022,-157.7394,83.61,67,75,16.11
218,Atambua,ID,2022-05-12 01:09:57,-9.1061,124.8925,81.5,66,58,2.37
219,Arinos,BR,2022-05-12 01:09:57,-15.9169,-46.1056,67.71,52,70,0.72
220,Nisia Floresta,BR,2022-05-12 01:06:21,-6.0911,-35.2086,76.01,92,100,4.38
221,Dunedin,NZ,2022-05-12 01:09:58,-45.8742,170.5036,58.64,57,55,3.22
222,Gomel,BY,2022-05-12 01:07:47,52.4345,30.9754,56.82,62,75,11.18
223,Port Hawkesbury,CA,2022-05-12 01:09:58,45.6169,-61.3485,52.92,98,100,4.61
224,Nanortalik,GL,2022-05-12 01:08:07,60.1432,-45.2371,32.49,94,100,9.28
225,Fethiye,TR,2022-05-12 01:09:59,36.6217,29.1164,57.07,64,0,5.1
226,Camacha,PT,2022-05-12 01:10:00,33.0833,-16.3333,62.02,94,40,14.97
227,Puerto Madero,MX,2022-05-12 01:10:00,14.7208,-92.4215,84.4,79,40,5.75
228,Saint-Philippe,RE,2022-05-12 01:10:01,-21.3585,55.7679,71.19,83,71,7.61
229,Xiongzhou,CN,2022-05-12 01:10:01,25.1167,114.3,69.46,97,100,3.38
230,Agara,GE,2022-05-12 01:10:02,42.0376,43.8238,41.77,91,18,4.83
231,Valer,NO,2022-05-12 01:10:02,60.6785,11.8331,41.16,84,37,5.06
232,Saky,UA,2022-05-12 01:10:03,45.1356,33.6031,50.16,82,9,5.95
233,Muzhi,RU,2022-05-12 01:10:04,65.3667,64.6667,36.82,96,80,4.05
234,Yarmouth,US,2022-05-12 01:10:04,41.7057,-70.2286,50.14,95,100,13.0
235,Saint-Pierre,RE,2022-05-12 01:09:20,-21.3393,55.4781,72.91,88,75,4.61
236,Albion,US,2022-05-12 01:10:05,42.2431,-84.753,80.55,65,0,5.75
237,Cassilandia,BR,2022-05-12 01:10:05,-19.1133,-51.7342,67.15,87,100,2.75
238,Hasaki,JP,2022-05-12 01:10:06,35.7333,140.8333,73.8,80,100,10.2
239,Pimentel,PE,2022-05-12 01:10:06,-6.8367,-79.9342,64.71,86,8,12.24
240,Mbini,GQ,2022-05-12 01:10:07,1.574,9.6134,79.18,84,100,2.57
241,Swinoujscie,PL,2022-05-12 01:10:07,53.9105,14.2471,54.18,89,57,2.86
242,Sola,VU,2022-05-12 01:10:08,-13.8833,167.55,78.08,88,100,22.73
243,Sao Domingos Do Maranhao,BR,2022-05-12 01:10:09,-5.5758,-44.3853,72.93,95,80,2.13
244,Campagna,IT,2022-05-12 01:10:09,40.6653,15.1059,59.34,85,10,0.92
245,Umm Lajj,SA,2022-05-12 01:10:10,25.0213,37.2685,80.53,39,0,7.58
246,Svetlyy,RU,2022-05-12 01:10:10,54.675,20.1347,53.65,96,100,14.7
247,Ilula,TZ,2022-05-12 01:10:11,-7.6766,36.0366,57.81,92,8,5.03
248,Plettenberg Bay,ZA,2022-05-12 01:10:11,-34.0527,23.3716,55.65,80,0,3.27
249,Saint Anthony,US,2022-05-12 01:10:12,45.0205,-93.218,75.97,81,75,31.07
250,Lebu,CL,2022-05-12 01:10:13,-37.6167,-73.65,53.49,74,100,8.55
251,Coahuayana,MX,2022-05-12 01:10:14,18.7333,-103.6833,82.15,65,16,5.26
252,Puri,IN,2022-05-12 01:10:14,19.8,85.85,81.12,79,10,14.32
253,Isabela,PH,2022-05-12 01:10:15,6.7085,121.9711,84.25,75,31,2.06
254,Kahului,US,2022-05-12 01:10:15,20.8947,-156.47,87.82,54,40,23.02
255,Altamira,BR,2022-05-12 01:10:16,-3.2033,-52.2064,73.9,89,47,2.93
256,Saint-Leu,RE,2022-05-12 01:10:16,-21.15,55.2833,72.32,81,42,7.67
257,Poum,NC,2022-05-12 01:10:17,-20.2333,164.0167,77.61,71,100,24.38
258,Marabba,SD,2022-05-12 01:10:18,12.35,32.1833,90.99,14,60,3.2
259,Henties Bay,NA,2022-05-12 01:10:18,-22.116,14.2845,60.15,75,0,6.73
260,Cidreira,BR,2022-05-12 01:10:19,-30.1811,-50.2056,60.75,84,9,13.02
261,Yurginskoye,RU,2022-05-12 01:10:20,56.8189,67.3921,48.58,86,97,10.63
262,Ponta Delgada,PT,2022-05-12 01:10:20,37.7333,-25.6667,59.72,72,20,13.8
263,Ola,RU,2022-05-12 01:10:21,59.5833,151.2833,43.14,82,88,5.35
264,Bubaque,GW,2022-05-12 01:10:21,11.2833,-15.8333,77.23,79,5,14.67
265,Wenatchee,US,2022-05-12 01:10:22,47.4235,-120.3103,65.25,23,40,9.22
266,Nalut,LY,2022-05-12 01:10:22,30.3333,10.85,58.12,70,0,10.94
267,Naze,JP,2022-05-12 01:10:23,28.3667,129.4833,72.52,85,100,9.66
268,Hamada,JP,2022-05-12 01:10:23,34.8833,132.0833,65.12,98,100,2.28
269,Santa Cruz,BO,2022-05-12 01:08:28,-17.8,-63.1667,69.26,88,75,4.61
270,Kaitangata,NZ,2022-05-12 01:10:24,-46.2817,169.8464,56.52,60,98,7.14
271,Borba,BR,2022-05-12 01:10:25,-4.3878,-59.5939,78.82,80,100,2.13
272,Lensk,RU,2022-05-12 01:10:25,60.7253,114.9278,47.26,83,83,5.19
273,Nemuro,JP,2022-05-12 01:10:26,43.3236,145.575,47.64,97,100,13.35
274,Dicabisagan,PH,2022-05-12 01:10:26,17.0818,122.4157,86.68,65,5,8.32
275,Dharchula,IN,2022-05-12 01:10:27,29.85,80.5333,70.14,81,72,0.4
276,Kerman,IR,2022-05-12 01:10:27,30.2832,57.0788,69.57,9,0,4.0
277,Vila Franca Do Campo,PT,2022-05-12 01:09:11,37.7167,-25.4333,59.41,75,52,9.86
278,Ati,TD,2022-05-12 01:10:28,13.2154,18.3353,89.35,34,97,9.04
279,Alamosa,US,2022-05-12 01:10:28,37.4695,-105.87,73.38,10,0,19.57
280,Grindavik,IS,2022-05-12 01:10:29,63.8424,-22.4338,36.07,87,75,5.75
281,Chapais,CA,2022-05-12 01:10:30,49.7834,-74.8492,55.47,45,12,6.38
282,Te Anau,NZ,2022-05-12 01:06:43,-45.4167,167.7167,53.19,67,100,1.12
283,Chicama,PE,2022-05-12 01:10:31,-7.8447,-79.1469,61.34,80,6,6.29
284,Guerrero Negro,MX,2022-05-12 01:10:31,27.9769,-114.0611,62.02,64,5,25.21
285,Peniche,PT,2022-05-12 01:10:32,39.3558,-9.3811,61.29,89,100,15.35
286,Koforidua,GH,2022-05-12 01:10:16,6.0941,-0.2591,75.27,98,100,2.91
287,Saquarema,BR,2022-05-12 01:10:33,-22.92,-42.5103,70.97,79,11,3.89
288,Partyzany,UA,2022-05-12 01:10:33,46.3314,34.7503,49.03,54,60,7.7
289,Malkerns,SZ,2022-05-12 01:10:34,-26.5667,31.1833,56.08,72,0,3.47
290,Pangnirtung,CA,2022-05-12 01:10:34,66.1451,-65.7125,14.07,87,36,6.13
291,Lisakovsk,KZ,2022-05-12 01:10:35,52.5369,62.4936,44.85,54,0,2.82
292,Kabinda,CD,2022-05-12 01:10:36,-6.1333,24.4833,68.07,71,68,2.8
293,Daman,IN,2022-05-12 01:10:36,20.4167,72.85,82.8,79,54,14.03
